sample_id	condition_simple	is_control	group	tissue	timepoint_hr	time_h	batch	dataset_id	parent_dataset_id	scoring_unit	raw_time_label	time_reference_event
SRR28462963	DELIVERY	FALSE	delivery_tlnp_sihbv_2_5mg_kg	tissue	72	72	NA	GSE262515_tissue	GSE262515	tissue	72 h after mouse administration (GEO/supplement; main-caption conflict)	mouse test-formulation administration
SRR28462964	DELIVERY	FALSE	delivery_tlnp_sihbv_2_5mg_kg	tissue	72	72	NA	GSE262515_tissue	GSE262515	tissue	72 h after mouse administration (GEO/supplement; main-caption conflict)	mouse test-formulation administration
SRR28462965	DELIVERY	FALSE	delivery_tlnp_sihbv_2_5mg_kg	tissue	72	72	NA	GSE262515_tissue	GSE262515	tissue	72 h after mouse administration (GEO/supplement; main-caption conflict)	mouse test-formulation administration
SRR28462966	DELIVERY	FALSE	delivery_tlnp_sihbv_1mg_kg	tissue	72	72	NA	GSE262515_tissue	GSE262515	tissue	72 h after mouse administration (GEO/supplement; main-caption conflict)	mouse test-formulation administration
SRR28462967	DELIVERY	FALSE	delivery_tlnp_sihbv_1mg_kg	tissue	72	72	NA	GSE262515_tissue	GSE262515	tissue	72 h after mouse administration (GEO/supplement; main-caption conflict)	mouse test-formulation administration
SRR28462968	DELIVERY	FALSE	delivery_tlnp_sihbv_1mg_kg	tissue	72	72	NA	GSE262515_tissue	GSE262515	tissue	72 h after mouse administration (GEO/supplement; main-caption conflict)	mouse test-formulation administration
SRR28462969	DELIVERY	FALSE	delivery_tlnp_sinc_1mg_kg	tissue	72	72	NA	GSE262515_tissue	GSE262515	tissue	72 h after mouse administration (GEO/supplement; main-caption conflict)	mouse test-formulation administration
SRR28462970	DELIVERY	FALSE	delivery_tlnp_sinc_1mg_kg	tissue	72	72	NA	GSE262515_tissue	GSE262515	tissue	72 h after mouse administration (GEO/supplement; main-caption conflict)	mouse test-formulation administration
SRR28462971	DELIVERY	FALSE	delivery_tlnp_sinc_1mg_kg	tissue	72	72	NA	GSE262515_tissue	GSE262515	tissue	72 h after mouse administration (GEO/supplement; main-caption conflict)	mouse test-formulation administration
SRR28462972	CONTROL	TRUE	baseline_0	tissue	72	72	NA	GSE262515_tissue	GSE262515	tissue	72 h after mouse administration (GEO/supplement; main-caption conflict)	mouse test-formulation administration
SRR28462973	CONTROL	TRUE	baseline_0	tissue	72	72	NA	GSE262515_tissue	GSE262515	tissue	72 h after mouse administration (GEO/supplement; main-caption conflict)	mouse test-formulation administration
SRR28462974	CONTROL	TRUE	baseline_0	tissue	72	72	NA	GSE262515_tissue	GSE262515	tissue	72 h after mouse administration (GEO/supplement; main-caption conflict)	mouse test-formulation administration
